Day,8:05-9:00,9:00-9:55,10:10-11:05,11:05-12:00,12:00-12:55,12:55-1:55,1:55-2:50,3:10-4:00,4:00-4:55,4:55-5:50
Monday,PCS-503 Lab ,PCS-503 Lab ,XCS-501 (QAR),XCS-501 (Verbal),Break,Break,TCS-503,TCS-501 ,Break,Break
Tuesday,TCS-502 ,TCS-502,PCS-511 Lab,PCS-511 Lab,Break,Break,TCS-511 ,TCS-501 ,TCS-503,Break
Wednesday,Break,Break,PCS-502 Lab,PCS-502 Lab,Break,Break,TCS-511 ,TCS-501 ,Break,Break
Thursday,PCS-503 Lab,PCS-503 Lab ,TCS-501 ,XCS-501 (Soft Skills),Break,Break,Career Excellence Classes (CEC),Career Excellence Classes (CEC),TCS-503,Break
Friday,TCS-511 ,TCS-511 ,PCS-511 Lab ,PCS-511 Lab ,Break,TCS-503,PCS-502 Lab,PCS-502 Lab,TCS-502,TCS-502 
