subject,present,absent
Career Excellence Classes (CEC),1,1
PCS-502 Lab,0,0
PCS-503 Lab,0,0
PCS-511 Lab,0,0
TCS-501,0,0
TCS-502,0,0
TCS-503,0,0
TCS-511,0,0
XCS-501 (QAR),0,0
XCS-501 (Soft Skills),0,0
XCS-501 (Verbal),0,0
